iter	Accuracy	MultiClass
0	0.813487882	1.045985588
1	0.8356164384	0.9974930913
2	0.8535300316	0.9499262834
3	0.8665261679	0.9048604421
4	0.8703898841	0.8674499055
5	0.8735511064	0.8337901974
6	0.8739023534	0.8007626633
7	0.880224798	0.7699107064
8	0.8830347734	0.7439453043
9	0.8812785388	0.7178654868
10	0.8840885142	0.6924417561
11	0.8840885142	0.6701953201
12	0.8876009835	0.6496422942
13	0.8879522304	0.6296302837
14	0.8879522304	0.610893909
15	0.8876009835	0.5910925402
16	0.8886547243	0.5726674868
17	0.8897084651	0.5550009799
18	0.8907622058	0.5409779619
19	0.8921671935	0.5264654388
20	0.8918159466	0.5134185186
21	0.8907622058	0.5014730794
22	0.8928696874	0.4876626195
23	0.8939234282	0.47798492
24	0.8967334036	0.4652621413
25	0.8967334036	0.4549907291
26	0.899543379	0.4462177652
27	0.8998946259	0.4374714901
28	0.9027046013	0.4279287388
29	0.9037583421	0.4180650542
30	0.904460836	0.4095640902
31	0.9065683175	0.4016121776
32	0.9072708114	0.3935497935
33	0.9079733052	0.3859744625
34	0.9107832806	0.3786469354
35	0.9125395153	0.3709398687
36	0.9118370214	0.3636456161
37	0.913944503	0.3575764395
38	0.9142957499	0.3518296553
39	0.9146469968	0.3469002025
40	0.9171057253	0.3410175597
41	0.918510713	0.3354837151
42	0.9195644538	0.3294003384
43	0.9213206884	0.3245322937
44	0.92342817	0.3194724414
45	0.9237794169	0.3149087842
46	0.9244819108	0.3102025129
47	0.9262381454	0.3053093121
48	0.9258868985	0.3013053775
49	0.9251844046	0.2970519952
50	0.9258868985	0.2937765336
51	0.9262381454	0.2903316023
52	0.9272918862	0.286333019
53	0.9290481208	0.2820352576
54	0.9293993678	0.2777621741
55	0.9315068493	0.2743977093
56	0.9325605901	0.2714662004
57	0.9336143309	0.2679325992
58	0.9343168247	0.2653126473
59	0.9353705655	0.2625840165
60	0.9367755532	0.2594193777
61	0.9360730594	0.2562747153
62	0.9388830348	0.2529195103
63	0.9374780471	0.250633501
64	0.9388830348	0.2486795807
65	0.9392342817	0.2461275044
66	0.9406392694	0.2428552214
67	0.9413417633	0.241802043
68	0.9409905163	0.2391886802
69	0.9409905163	0.2371096186
70	0.9416930102	0.2347143703
71	0.9420442571	0.2325965218
72	0.9416930102	0.230487303
73	0.9413417633	0.2283016034
74	0.9416930102	0.2268996796
75	0.942395504	0.2247816282
76	0.9430979979	0.2231173874
77	0.9430979979	0.2211344033
78	0.9416930102	0.2197838775
79	0.942746751	0.2182485533
80	0.942746751	0.2161208868
81	0.9441517387	0.214851611
82	0.9455567264	0.2122722578
83	0.9459079733	0.2110121531
84	0.9455567264	0.2091135644
85	0.9462592202	0.2075751146
86	0.9469617141	0.2062782607
87	0.947312961	0.2042930845
88	0.9487179487	0.2033380619
89	0.9483667018	0.2015179268
90	0.9494204426	0.1997332352
91	0.9494204426	0.1980175806
92	0.9511766772	0.1964809282
93	0.9508254303	0.1953502024
94	0.9504741834	0.1942575283
95	0.9515279241	0.1933133803
96	0.952230418	0.1921348167
97	0.9525816649	0.1917049151
98	0.9515279241	0.1905624955
99	0.952230418	0.1897069194
100	0.9525816649	0.1882406381
101	0.9536354057	0.1870393369
102	0.9553916403	0.185768191
103	0.9553916403	0.1850984236
104	0.9550403934	0.1839444317
105	0.9553916403	0.1832204904
106	0.9564453811	0.1821111311
107	0.956796628	0.1811682869
108	0.956796628	0.1803697657
109	0.957147875	0.1793461074
110	0.957147875	0.1779390717
111	0.9574991219	0.1770283369
112	0.9585528627	0.1762482985
113	0.9589041096	0.1752892295
114	0.9596066034	0.174372093
115	0.9592553565	0.172966117
