iter	Passed	Remaining
0	10	5403
1	19	4930
2	28	4786
3	37	4694
4	46	4628
5	56	4623
6	65	4641
7	75	4655
8	85	4684
9	94	4644
10	102	4567
11	112	4571
12	122	4576
13	131	4579
14	141	4587
15	152	4615
16	163	4635
17	173	4633
18	182	4613
19	192	4612
20	202	4626
21	213	4645
22	223	4634
23	233	4623
24	243	4620
25	253	4615
26	262	4605
27	273	4603
28	283	4600
29	292	4589
30	302	4577
31	312	4567
32	321	4542
33	331	4547
34	342	4550
35	352	4543
36	362	4535
37	371	4516
38	380	4500
39	391	4497
40	401	4492
41	411	4486
42	421	4477
43	431	4469
44	441	4466
45	452	4464
46	462	4460
47	473	4460
48	485	4465
49	496	4467
50	507	4464
51	517	4459
52	527	4447
53	537	4442
54	548	4437
55	558	4430
56	569	4429
57	580	4425
58	590	4417
59	601	4413
60	612	4408
61	623	4402
62	633	4395
63	642	4379
64	652	4364
65	661	4350
66	672	4345
67	682	4335
68	692	4326
69	702	4317
70	713	4309
71	724	4308
72	735	4302
73	745	4294
74	756	4285
75	767	4280
76	777	4271
77	789	4269
78	799	4263
79	810	4257
80	820	4244
81	830	4234
82	841	4228
83	851	4218
84	862	4213
85	873	4203
86	883	4195
87	894	4185
88	904	4177
89	915	4170
90	926	4166
91	937	4157
92	948	4149
93	959	4144
94	969	4133
95	981	4128
96	992	4122
97	1003	4116
98	1014	4109
99	1025	4101
100	1035	4091
101	1046	4084
102	1056	4073
103	1067	4063
104	1077	4054
105	1088	4044
106	1098	4035
107	1108	4024
108	1120	4018
109	1129	4003
110	1138	3990
111	1148	3978
112	1157	3963
113	1165	3947
114	1174	3933
115	1183	3917
116	1192	3902
117	1200	3887
118	1211	3877
119	1221	3867
120	1231	3858
121	1241	3847
122	1252	3840
123	1263	3830
124	1273	3820
125	1284	3813
126	1295	3805
127	1306	3796
128	1316	3786
129	1326	3775
130	1337	3766
131	1347	3755
132	1357	3746
133	1368	3737
134	1378	3727
135	1389	3719
136	1400	3711
137	1412	3704
138	1423	3695
139	1434	3687
140	1445	3679
141	1456	3671
142	1466	3662
143	1476	3650
144	1486	3639
145	1496	3628
146	1508	3621
147	1518	3612
148	1527	3598
149	1536	3586
150	1545	3573
151	1555	3562
152	1564	3549
153	1573	3536
154	1583	3524
155	1592	3512
156	1602	3500
157	1611	3488
158	1620	3474
159	1629	3462
160	1638	3449
161	1648	3440
162	1657	3427
163	1666	3414
164	1675	3402
165	1684	3389
166	1693	3377
167	1702	3365
168	1712	3353
169	1720	3340
170	1729	3328
171	1738	3315
172	1748	3305
173	1758	3293
174	1768	3284
175	1778	3274
176	1788	3263
177	1799	3255
178	1810	3246
179	1821	3238
180	1832	3230
181	1843	3221
182	1854	3213
183	1866	3204
184	1877	3196
185	1888	3188
186	1902	3184
187	1914	3176
188	1925	3168
189	1936	3160
190	1949	3154
191	1961	3146
192	1972	3138
193	1985	3131
194	1995	3121
195	2007	3113
196	2018	3105
197	2030	3096
198	2042	3089
199	2054	3081
200	2066	3073
201	2076	3063
202	2086	3052
203	2095	3040
204	2104	3028
205	2114	3018
206	2124	3007
207	2134	2996
208	2143	2984
209	2153	2974
210	2162	2961
211	2171	2950
212	2181	2939
213	2190	2927
214	2199	2915
215	2208	2903
216	2218	2893
217	2227	2881
218	2236	2869
219	2245	2858
220	2254	2846
221	2264	2836
222	2273	2824
223	2282	2812
224	2291	2800
225	2301	2790
226	2310	2778
227	2319	2766
228	2329	2756
229	2338	2744
230	2347	2733
231	2357	2722
232	2365	2710
233	2374	2698
234	2382	2686
235	2391	2674
236	2399	2662
237	2409	2652
238	2420	2643
239	2430	2632
240	2439	2622
241	2448	2610
242	2457	2598
243	2465	2587
244	2474	2575
245	2482	2563
246	2493	2553
247	2502	2542
248	2512	2532
249	2523	2523
250	2533	2513
251	2544	2503
252	2554	2494
253	2564	2483
254	2574	2473
255	2585	2464
256	2596	2454
257	2606	2444
258	2616	2434
259	2626	2424
260	2636	2414
261	2646	2403
262	2656	2393
263	2667	2384
264	2678	2375
265	2689	2366
266	2701	2357
267	2711	2347
268	2722	2337
269	2733	2328
270	2744	2319
271	2755	2309
272	2766	2300
273	2776	2290
274	2788	2281
275	2798	2271
276	2808	2260
277	2817	2249
278	2826	2238
279	2836	2228
280	2845	2217
281	2854	2206
282	2864	2196
283	2873	2185
284	2882	2174
285	2892	2164
286	2901	2153
287	2910	2142
288	2919	2131
289	2928	2120
290	2938	2110
291	2947	2099
292	2957	2089
293	2966	2078
294	2977	2069
295	2989	2060
296	2998	2049
297	3007	2038
298	3016	2027
299	3024	2016
300	3033	2005
301	3041	1994
302	3050	1983
303	3058	1972
304	3067	1961
305	3076	1950
306	3084	1939
307	3096	1930
308	3107	1920
309	3117	1910
310	3127	1900
311	3137	1890
312	3148	1880
313	3158	1871
314	3169	1861
315	3180	1852
316	3191	1842
317	3202	1832
318	3213	1823
319	3224	1813
320	3235	1804
321	3246	1794
322	3257	1784
323	3267	1775
324	3278	1765
325	3288	1755
326	3299	1745
327	3310	1735
328	3321	1726
329	3332	1716
330	3342	1706
331	3353	1696
332	3363	1686
333	3373	1676
334	3383	1666
335	3393	1656
336	3404	1646
337	3415	1636
338	3426	1627
339	3436	1617
340	3447	1607
341	3458	1597
342	3469	1587
343	3479	1578
344	3490	1568
345	3501	1558
346	3512	1548
347	3523	1538
348	3534	1529
349	3545	1519
350	3555	1509
351	3566	1499
352	3577	1489
353	3588	1479
354	3599	1470
355	3610	1460
356	3621	1450
357	3633	1441
358	3644	1431
359	3655	1421
360	3665	1411
361	3675	1401
362	3686	1391
363	3696	1381
364	3708	1371
365	3719	1361
366	3730	1351
367	3740	1341
368	3750	1331
369	3761	1321
370	3771	1311
371	3783	1301
372	3793	1291
373	3804	1281
374	3815	1271
375	3826	1261
376	3837	1251
377	3848	1242
378	3859	1232
379	3870	1222
380	3882	1212
381	3894	1203
382	3905	1193
383	3917	1183
384	3927	1173
385	3939	1163
386	3949	1153
387	3960	1143
388	3971	1133
389	3983	1123
390	3994	1113
391	4005	1103
392	4017	1093
393	4029	1084
394	4041	1074
395	4052	1064
396	4064	1054
397	4077	1045
398	4090	1035
399	4101	1025
400	4114	1015
401	4126	1005
402	4139	996
403	4151	986
404	4165	977
405	4177	967
406	4190	957
407	4202	947
408	4213	937
409	4225	927
410	4237	917
411	4249	907
412	4261	897
413	4273	887
414	4286	877
415	4298	868
416	4310	858
417	4323	848
418	4336	838
419	4347	828
420	4358	817
421	4370	807
422	4381	797
423	4392	787
424	4402	776
425	4414	766
426	4426	756
427	4437	746
428	4449	736
429	4462	726
430	4472	716
431	4483	705
432	4495	695
433	4506	685
434	4518	675
435	4530	665
436	4542	654
437	4554	644
438	4566	634
439	4578	624
